mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
56.11149978637695,4.732285924578469,0.1386244297027588,0.017442157294958578,0.05,2,1,2,100,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7732978897012515,0.7791482905510998,0.7828113128926895,0.7784191643816802,0.003917909641041331,29
82.85992765426636,4.6928895879190735,0.19016035397847494,0.023966777995038033,0.05,2,1,2,150,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.7762790036422071,0.7851412488331382,0.7857814992065714,0.7824005838939723,0.004336495414446291,22
54.666340589523315,3.9741685041696018,0.1301297346750895,0.008285630272591871,0.05,2,1,5,100,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7732978897012515,0.7789721450854652,0.7828113128926895,0.7783604492264686,0.00390784971331487,30
76.78910525639851,4.327754048516006,0.15826129913330078,0.010061657174355856,0.05,2,1,5,150,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7762790036422071,0.7847063704406128,0.7857814992065714,0.782255624429797,0.004248840821905594,23
52.94531989097595,2.086314262833104,0.13699579238891602,0.014541129063339455,0.05,2,2,2,100,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7732978897012515,0.7786142695438651,0.7828113128926895,0.7782411573792687,0.0038927894643280307,32
80.19850635528564,0.412264362199663,0.19549242655436197,0.04853630701866848,0.05,2,2,2,150,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.7773611238289324,0.7855027902279598,0.7859444511126097,0.7829361217231673,0.0039462401704913955,20
54.27326329549154,2.46027779270955,0.1579763094584147,0.041643579474821765,0.05,2,2,5,100,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7732978897012515,0.7787017256717879,0.7828113128926895,0.7782703094219096,0.003895800746987441,31
80.15176796913147,2.7713325511293516,0.2025726636250814,0.02374768171674842,0.05,2,2,5,150,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.7773611238289324,0.7855690708659485,0.7859444511126097,0.7829582152691635,0.0039607071780282934,19
73.15712054570515,0.49600074393737176,0.17431036631266275,0.00751212979006936,0.05,3,1,2,100,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7771838133147767,0.7853335173223697,0.7909111585257578,0.7844761630543013,0.005636860467263221,11
116.57966319719951,5.572251344669507,0.2643321355183919,0.04064143757429806,0.05,3,1,2,150,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.777146833587751,0.7862547190279616,0.7908038610839535,0.7847351378998887,0.005678053957217147,7
