rank,model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,training_time_seconds
1,Hist Gradient Boosting,0.7861635220125787,0.7964158589500686,0.8071364177278685,0.7861635220125787,0.7887666188849316,0.7469979622550617,0.7964158589500686,0.7589134712679946,38.73709678649902
2,Random Forest,0.7789538272741218,0.7096347244533521,0.7768097196809806,0.7789538272741218,0.7745404731453518,0.7525320853030669,0.7096347244533521,0.7256009021134037,17.343881845474243
3,Extra Trees,0.775272281024697,0.7106427994679556,0.7727242898587876,0.775272281024697,0.7717327704814075,0.7441632947622174,0.7106427994679556,0.7238753121413845,12.10953688621521
4,Logistic Regression,0.7430587513422304,0.7643314416350441,0.7778010144774415,0.7430587513422304,0.746893426359163,0.7095536260235541,0.7643314416350441,0.7139309141786389,2.604581356048584
5,KNN,0.7591655161834637,0.6859796752681154,0.7575779564034534,0.7591655161834637,0.7549426572810647,0.7243110173313432,0.6859796752681154,0.7003571990806792,2.181000232696533
