Rank,Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Weighted,F1 Macro,Training Time (sec)
1,Gradient Boosting,0.7629317902858145,0.7943287676403454,0.791690278461909,0.7629317902858145,0.7647749388167133,0.7478184281851065,85.98767423629761
2,XGBoost,0.7475013150973172,0.770411122164436,0.7699579849008139,0.7475013150973172,0.7499736880336603,0.7318658813805267,4.759373664855957
3,Random Forest,0.7387339996493074,0.6738798698127959,0.7353541696131779,0.7387339996493074,0.7330141178253519,0.6883837430721633,4.9733664989471436
